Crucifixus,Andrea Gabrielli,30,Gregoriano,Estante1 - G3
Ave Maria gratia plena,Javier Busto,1,Sacro,Estante1 - G3
Benedictus,Giovanni Pierluigi da Palestino,50,Sacro,Estante1 - G3
Alleluia,Johann Sebastian Bach. Arr Channing,50,Sacro,Estante1 - G3
Ave Maria,Juan E Martini,3,Sacro,Estante1 - G3
Si San Pedro se muriera,Alberto Grau,1,Popular,Estante1 - G3
La mariposa,Modesta Bor,20,Voces Blancas,Estante1 - G4
El son de las piedras,William Blanco,5,Voces Blancas,Estante1 - G4
El sebucan,Modesta Bor,2,Voces Blancas,Estante1 - G4
La alondra,Anónimo,1,Voces Blancas,Estante1 - G4
La fiesta del tambor,Anónimo,20,Voces Blancas,Estante1 - G4
Agua de beber,Antonio Carlo,1,Voces Blancas,Estante1 - G4
Al animo,Anónimo,1,Voces Blancas,Estante1 - G4
Ale limon,Modesta Bor,3,Voces Blancas,Estante1 - G4
Alai cui cui,Miguel Astor,10,Voces Blancas,Estante1 - G4
I went to the market,Canadian Flok,20,Voces Blancas,Estante1 - G4
E uskal jukoak,Javier Busto,50,Voces Blancas,Estante1 - G4
Desesperanza,Luisa Escobar,50,Voces Blancas,Estante1 - G4
"asi es, Oriente",Beto Valderrama,1,Voces Blancas,Estante1 - G4
As Costureims,Heitor Villa-Lobos,10,Voces Blancas,Estante1 - G4
El palagar,Modesta Bor,1,Voces Blancas,Estante1 - G4
Esguinces ritmicos,Modesta Bor,1,Voces Blancas,Estante1 - G4
"Hebrew sog, in hebrew",Donna Donna,5,Voces Blancas,Estante1 - G4
Doeba,Eieks Veenker,5,Voces Blancas,Estante1 - G4
El cascabel,Jorge Cozalt,5,Voces Blancas,Estante1 - G4
El bailon,Vicente Emilio Sojo,1,Voces Blancas,Estante1 - G4
"Coro, coronel rosado",Piazzoralla,20,Voces Blancas,Estante1 - G4
Karadeniz Turkusi,Ahmet Kutsi,1,Voces Blancas,Estante1 - G4
Desde que o samba,Roberto Rodgriguez,5,Voces Blancas,Estante1 - G4
Good night,Dmitri kabalevsk,3,Voces Blancas,Estante1 - G4
Amigo de verdad,Anónimo,1,Voces Blancas,Estante1 - G4
La azulita,Ernesto duque,1,Voces Blancas,Estante1 - G4
Homenaje al sol,Anónimo,4,Voces Blancas,Estante1 - G4
Esta enamorada,Gilberto Rebolledo,10,Voces Blancas,Estante1 - G4
El tren,C.M. de weber,1,Voces Blancas,Estante1 - G4
El santiguao,Federico Ruiz,1,Voces Blancas,Estante1 - G4
El valenton,Gilberto Rebolledo,5,Voces Blancas,Estante1 - G4
Danzantito,Anónimo,20,Voces Blancas,Estante1 - G4
Bandinha da vila ,Arico Juvor,20,Voces Blancas,Estante1 - G4
Edetwetss,Richard Rodgers,10,Voces Blancas,Estante1 - G4
Cancion de cuna para dormir un negrito,Modesta Bor,1,Voces Blancas,Estante1 - G4
